City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,gaalkacyo,6.7697,47.4308,24.85,69,59,7.95,SO,1694836446
301,galle,6.0367,80.217,28.28,75,84,2.54,LK,1694836447
302,sault ste. marie,46.5168,-84.3333,15.16,87,100,2.57,CA,1694836219
303,gdov,58.7406,27.8122,11.34,81,60,3.66,RU,1694836447
304,argenton-sur-creuse,46.59,1.5198,17.19,71,100,1.85,FR,1694836448
305,toliara,-23.35,43.6667,23.0,59,0,2.6,MG,1694835948
306,amparafaravola,-17.5833,48.2167,14.85,84,46,1.94,MG,1694836448
307,mont-dore,-22.2833,166.5833,23.99,84,97,6.79,NC,1694836448
308,puerto el triunfo,13.2833,-88.55,26.26,86,96,1.44,SV,1694836203
309,hutchinson,38.0608,-97.9298,17.97,96,100,2.06,US,1694836184
310,nkhotakota,-12.9274,34.2961,22.13,62,6,0.96,MW,1694836449
311,taoudenni,22.6783,-3.9836,35.9,19,35,3.76,ML,1694836450
312,siwa oasis,29.2041,25.5195,22.64,51,0,2.2,EG,1694836450
313,addiet canna,11.2667,37.4833,13.92,89,73,1.06,ET,1694836450
314,itaituba,-4.2761,-55.9836,29.13,38,92,0.61,BR,1694836450
315,stanley,54.868,-1.6985,10.99,92,100,6.17,GB,1694836451
316,minggang,32.4586,114.0486,29.63,46,0,2.04,CN,1694836451
317,pathein,16.7833,94.7333,30.25,70,76,4.52,MM,1694836451
318,namibe,-15.1961,12.1522,18.42,89,99,3.54,AO,1694835899
319,moranbah,-22.0016,148.0466,27.5,23,0,7.6,AU,1694836452
320,yelizovo,53.1873,158.3805,10.08,93,75,3.13,RU,1694836452
321,micheweni,-4.9667,39.8333,25.13,76,76,3.37,TZ,1694836452
322,sangmelima,2.9333,11.9833,20.19,98,100,1.6,CM,1694836452
323,rio brilhante,-21.8019,-54.5464,16.89,55,0,2.3,BR,1694836453
324,gadzhiyevo,69.2551,33.3362,3.63,88,48,5.15,RU,1694835921
325,lake havasu city,34.4839,-114.3224,35.12,14,0,4.63,US,1694836453
326,alofi,-19.0595,-169.9187,24.94,65,46,5.14,NU,1694836453
327,pearsall,28.8922,-99.095,27.99,74,78,0.48,US,1694836454
328,onega,63.9061,38.1404,6.95,82,68,0.6,RU,1694836454
329,fort st. john,56.2499,-120.8529,15.94,33,75,5.14,CA,1694836454
330,gunjur,13.2019,-16.7339,26.04,94,40,0.0,GM,1694836454
331,karratha,-20.7377,116.8463,33.89,19,0,3.39,AU,1694835896
332,port lincoln,-34.7333,135.8667,21.88,43,0,4.79,AU,1694835876
333,al hadd,26.2456,50.6542,35.03,49,0,8.23,BH,1694836455
334,hammerfest,70.6634,23.6821,3.25,81,60,0.0,NO,1694836455
335,margate,51.3813,1.3862,20.39,93,64,0.89,GB,1694836456
336,xichang,27.8964,102.2634,25.75,67,47,1.11,CN,1694835910
337,thunder bay,48.4001,-89.3168,12.99,100,75,1.54,CA,1694835608
338,carnarvon,-24.8667,113.6333,23.29,56,0,6.77,AU,1694836456
339,dali,25.7,100.1833,24.94,57,6,0.97,CN,1694836456
340,hlusk,52.903,28.6845,7.61,94,12,2.59,BY,1694836457
341,ormara,25.2088,64.6357,26.61,84,81,5.31,PK,1694836457
342,atafu village,-8.5421,-172.5159,28.79,73,24,5.53,TK,1694836457
343,san luis de la loma,17.2706,-100.8939,26.72,89,100,2.2,MX,1694836457
344,calama,-22.4667,-68.9333,10.27,18,0,5.14,CL,1694836448
345,bardai,11.65,7.2333,21.25,84,100,2.38,NG,1694836458
346,sinabang,2.4803,96.3801,27.62,81,92,3.87,ID,1694835906
347,wenchang,30.904,118.4887,27.92,70,47,2.03,CN,1694836458
348,yamada,39.4667,141.95,26.82,76,89,0.26,JP,1694836458
349,nar'yan-mar,67.6713,53.087,4.65,82,100,2.03,RU,1694835860
350,guadalupe,25.6833,-100.25,26.66,67,98,1.31,MX,1694836427
351,north platte,41.1239,-100.7654,16.88,84,0,1.34,US,1694836361
352,bambanglipuro,-7.95,110.2833,29.23,58,12,7.85,ID,1694836459
353,corumba,-19.0092,-57.6533,21.96,64,0,1.35,BR,1694836459
354,belomorsk,64.5232,34.7668,5.65,96,31,2.55,RU,1694836460
355,luderitz,-26.6481,15.1594,12.73,88,21,9.18,NA,1694835906
